item_id,comet_score,status
rs::ADLVFFE4VBT8::B00002NDRF::1298419200,0.7533,PASS
rt::ADLVFFE4VBT8::B00002NDRF::1298419200,0.8103,PASS
rs::ADLVFFE4VBT8::B00005114Z::1242691200,0.8308,PASS
rt::ADLVFFE4VBT8::B00005114Z::1242691200,0.7969,PASS
rs::ADLVFFE4VBT8::B00006343P::1320364800,0.8603,PASS
rt::ADLVFFE4VBT8::B00006343P::1320364800,0.6064,RETRY
rs::ADLVFFE4VBT8::B000067RVL::1250640000,0.8790,PASS
rt::ADLVFFE4VBT8::B000067RVL::1250640000,0.6113,RETRY
rs::ADLVFFE4VBT8::B000067SGI::1298246400,0.8452,PASS
rt::ADLVFFE4VBT8::B000067SGI::1298246400,0.8016,PASS
rs::ADLVFFE4VBT8::B00006B8K2::1244160000,0.8731,PASS
rt::ADLVFFE4VBT8::B00006B8K2::1244160000,0.6531,RETRY
rs::ADLVFFE4VBT8::B00009V2W9::1255305600,0.8599,PASS
rt::ADLVFFE4VBT8::B00009V2W9::1255305600,0.6884,RETRY
rs::ADLVFFE4VBT8::B0000VP1WQ::1245628800,0.8743,PASS
rt::ADLVFFE4VBT8::B0000VP1WQ::1245628800,0.7047,PASS
rs::ADLVFFE4VBT8::B0001IXUDK::1246924800,0.8561,PASS
rt::ADLVFFE4VBT8::B0001IXUDK::1246924800,0.5675,RETRY
rs::ADLVFFE4VBT8::B0001LTT64::1229990400,0.8897,PASS
rt::ADLVFFE4VBT8::B0001LTT64::1229990400,0.8644,PASS
rs::ADLVFFE4VBT8::B00020BJA8::1246665600,0.8829,PASS
rt::ADLVFFE4VBT8::B00020BJA8::1246665600,0.5525,RETRY
rs::ADLVFFE4VBT8::B000261N6M::1220745600,0.7816,PASS
rt::ADLVFFE4VBT8::B000261N6M::1220745600,0.7372,PASS
rs::ADLVFFE4VBT8::B0002CPBUK::1229990400,0.8653,PASS
rt::ADLVFFE4VBT8::B0002CPBUK::1229990400,0.6824,RETRY
rs::ADLVFFE4VBT8::B0002KKIUA::1297382400,0.8418,PASS
rt::ADLVFFE4VBT8::B0002KKIUA::1297382400,0.8110,PASS
rs::ADLVFFE4VBT8::B0002L5R78::1229212800,0.8923,PASS
rt::ADLVFFE4VBT8::B0002L5R78::1229212800,0.5922,RETRY
rs::ADLVFFE4VBT8::B0007LJHVA::1188691200,0.8687,PASS
rt::ADLVFFE4VBT8::B0007LJHVA::1188691200,0.6313,RETRY
rs::ADLVFFE4VBT8::B0007SKSES::1226102400,0.8465,PASS
rt::ADLVFFE4VBT8::B0007SKSES::1226102400,0.5209,RETRY
rs::ADLVFFE4VBT8::B00093IIRA::1225324800,0.8789,PASS
rt::ADLVFFE4VBT8::B00093IIRA::1225324800,0.6610,RETRY
rs::ADLVFFE4VBT8::B0009MFTSW::1271203200,0.8275,PASS
rt::ADLVFFE4VBT8::B0009MFTSW::1271203200,0.6336,RETRY
rs::ADLVFFE4VBT8::B0009Y7APU::1239062400,0.8685,PASS
rt::ADLVFFE4VBT8::B0009Y7APU::1239062400,0.8326,PASS
rs::ADLVFFE4VBT8::B000BYA5NC::1263427200,0.8548,PASS
rt::ADLVFFE4VBT8::B000BYA5NC::1263427200,0.5384,RETRY
rs::ADLVFFE4VBT8::B000CATRHK::1220572800,0.8612,PASS
rt::ADLVFFE4VBT8::B000CATRHK::1220572800,0.6789,RETRY
rs::ADLVFFE4VBT8::B000DZKUHA::1222387200,0.8074,PASS
rt::ADLVFFE4VBT8::B000DZKUHA::1222387200,0.7554,PASS
rs::ADLVFFE4VBT8::B000EF3YQI::1267747200,0.8623,PASS
rt::ADLVFFE4VBT8::B000EF3YQI::1267747200,0.7022,PASS
rs::ADLVFFE4VBT8::B000FDVK2E::1249516800,0.8897,PASS
rt::ADLVFFE4VBT8::B000FDVK2E::1249516800,0.6023,RETRY
rs::ADLVFFE4VBT8::B000FITJ04::1239580800,0.7479,PASS
rt::ADLVFFE4VBT8::B000FITJ04::1239580800,0.5716,RETRY
rs::ADLVFFE4VBT8::B000FNBYKW::1263772800,0.8603,PASS
rt::ADLVFFE4VBT8::B000FNBYKW::1263772800,0.6521,RETRY
rs::ADLVFFE4VBT8::B000FVGM38::1262908800,0.8755,PASS
rt::ADLVFFE4VBT8::B000FVGM38::1262908800,0.7081,PASS
rs::ADLVFFE4VBT8::B000FZX9I0::1223251200,0.8575,PASS
rt::ADLVFFE4VBT8::B000FZX9I0::1223251200,0.8558,PASS
rs::ADLVFFE4VBT8::B000HDL05O::1276041600,0.8524,PASS
rt::ADLVFFE4VBT8::B000HDL05O::1276041600,0.6234,RETRY
rs::ADLVFFE4VBT8::B000HEANB0::1292371200,0.8824,PASS
rt::ADLVFFE4VBT8::B000HEANB0::1292371200,0.5245,RETRY
rs::ADLVFFE4VBT8::B000HKGK8Y::1264896000,0.7024,PASS
rt::ADLVFFE4VBT8::B000HKGK8Y::1264896000,0.5397,RETRY
rs::ADLVFFE4VBT8::B000HPV3RW::1245024000,0.8897,PASS
rt::ADLVFFE4VBT8::B000HPV3RW::1245024000,0.5759,RETRY
rs::ADLVFFE4VBT8::B000I1IGQ6::1283126400,0.8778,PASS
rt::ADLVFFE4VBT8::B000I1IGQ6::1283126400,0.6156,RETRY
rs::ADLVFFE4VBT8::B000J38QBS::1289520000,0.8338,PASS
rt::ADLVFFE4VBT8::B000J38QBS::1289520000,0.5929,RETRY
rs::ADLVFFE4VBT8::B000JMJWV2::1293580800,0.8826,PASS
rt::ADLVFFE4VBT8::B000JMJWV2::1293580800,0.7939,PASS
rs::ADLVFFE4VBT8::B000JVCPEY::1231632000,0.8553,PASS
rt::ADLVFFE4VBT8::B000JVCPEY::1231632000,0.5675,RETRY
rs::ADLVFFE4VBT8::B000KZ67FC::1247011200,0.8697,PASS
rt::ADLVFFE4VBT8::B000KZ67FC::1247011200,0.5741,RETRY
rs::ADLVFFE4VBT8::B000LQFI2I::1249516800,0.8897,PASS
rt::ADLVFFE4VBT8::B000LQFI2I::1249516800,0.5977,RETRY
rs::ADLVFFE4VBT8::B000M17AVO::1221782400,0.8720,PASS
rt::ADLVFFE4VBT8::B000M17AVO::1221782400,0.6436,RETRY
rs::ADLVFFE4VBT8::B000M2GYF6::1223251200,0.8841,PASS
rt::ADLVFFE4VBT8::B000M2GYF6::1223251200,0.8632,PASS
rs::ADLVFFE4VBT8::B000M4XMGI::1225152000,0.8767,PASS
rt::ADLVFFE4VBT8::B000M4XMGI::1225152000,0.7292,PASS
rs::ADLVFFE4VBT8::B000M51NRM::1263340800,0.8652,PASS
rt::ADLVFFE4VBT8::B000M51NRM::1263340800,0.6566,RETRY
rs::ADLVFFE4VBT8::B000MDZKUU::1369872000,0.7138,PASS
rt::ADLVFFE4VBT8::B000MDZKUU::1369872000,0.8496,PASS
rs::ADLVFFE4VBT8::B000MF7R4K::1173484800,0.5495,RETRY
rt::ADLVFFE4VBT8::B000MF7R4K::1173484800,0.7537,PASS
rs::ADLVFFE4VBT8::B000MX48VM::1251072000,0.8765,PASS
rt::ADLVFFE4VBT8::B000MX48VM::1251072000,0.7956,PASS
rs::ADLVFFE4VBT8::B000NO8GNG::1231200000,0.8707,PASS
rt::ADLVFFE4VBT8::B000NO8GNG::1231200000,0.5934,RETRY
rs::ADLVFFE4VBT8::B000OEOMOW::1226880000,0.8685,PASS
rt::ADLVFFE4VBT8::B000OEOMOW::1226880000,0.7124,PASS
rs::ADLVFFE4VBT8::B000OH56ZS::1228780800,0.8563,PASS
rt::ADLVFFE4VBT8::B000OH56ZS::1228780800,0.6332,RETRY
rs::ADLVFFE4VBT8::B000PKC102::1219276800,0.8559,PASS
rt::ADLVFFE4VBT8::B000PKC102::1219276800,0.8372,PASS
pt::B00002NDRF,0.8213,PASS
pt::B00005114Z,0.6255,RETRY
pt::B00006343P,0.8261,PASS
pt::B000067RVL,0.8181,PASS
pt::B000067SGI,0.6356,RETRY
pt::B00006B8K2,0.8498,PASS
pt::B00009V2W9,0.8480,PASS
pt::B0000VP1WQ,0.8364,PASS
pt::B0001IXUDK,0.8322,PASS
pt::B0001LTT64,0.8899,PASS
pt::B00020BJA8,0.6714,RETRY
pt::B000261N6M,0.8834,PASS
pt::B0002CPBUK,0.8494,PASS
pt::B0002KKIUA,0.5557,RETRY
pt::B0002L5R78,0.6510,RETRY
pt::B0007LJHVA,0.8830,PASS
pt::B0007SKSES,0.8551,PASS
pt::B00093IIRA,0.8659,PASS
pt::B0009MFTSW,0.8475,PASS
pt::B0009Y7APU,0.8384,PASS
pt::B000BYA5NC,0.8355,PASS
pt::B000CATRHK,0.8192,PASS
pt::B000DZKUHA,0.8010,PASS
pt::B000EF3YQI,0.8706,PASS
pt::B000FDVK2E,0.8022,PASS
pt::B000FITJ04,0.8024,PASS
pt::B000FNBYKW,0.8560,PASS
pt::B000FVGM38,0.8795,PASS
pt::B000FZX9I0,0.7793,PASS
pt::B000HDL05O,0.7871,PASS
pt::B000HEANB0,0.6912,RETRY
pt::B000HKGK8Y,0.8426,PASS
pt::B000HPV3RW,0.8298,PASS
pt::B000I1IGQ6,0.6492,RETRY
pt::B000J38QBS,0.8319,PASS
pt::B000JMJWV2,0.8594,PASS
pt::B000JVCPEY,0.7875,PASS
pt::B000KZ67FC,0.6670,RETRY
pt::B000LQFI2I,0.7447,PASS
pt::B000M2GYF6,0.8533,PASS
pt::B000M4XMGI,0.8790,PASS
pt::B000M51NRM,0.7888,PASS
pt::B000MDZKUU,0.8768,PASS
pt::B000MF7R4K,0.7984,PASS
pt::B000MX48VM,0.8440,PASS
pt::B000NO8GNG,0.8677,PASS
pt::B000OEOMOW,0.8643,PASS
pt::B000OH56ZS,0.8664,PASS
pt::B000PKC102,0.7887,PASS
pt::B000Q8UAWY,0.8228,PASS
pt::B000SY1PQ6,0.7989,PASS
pt::B000UF3FT8,0.8285,PASS
pt::B000UZH7P6,0.8483,PASS
pt::B000VCHII4,0.8152,PASS
pt::B000Y138EK,0.8313,PASS
pt::B000Y16TY6,0.8347,PASS
pt::B000Y8EXSS,0.8670,PASS
pt::B000YQSKPM,0.8607,PASS
pt::B00104XCVO,0.8053,PASS
pt::B00113X7Q4,0.8655,PASS
pt::B0011FQUUW,0.8798,PASS
pt::B0011U65F2,0.8236,PASS
pt::B00123WZWK,0.8437,PASS
pt::B001250KX4,0.8609,PASS
pt::B00127VF68,0.8800,PASS
pt::B0012X5766,0.8617,PASS
pt::B00139S3U6,0.8512,PASS
pt::B0014J07R2,0.7804,PASS
pt::B0014Z29OU,0.8292,PASS
pt::B0014Z29U4,0.8078,PASS
pt::B00153T624,0.8757,PASS
pt::B001540AH8,0.8746,PASS
pt::B0015DYMVO,0.8128,PASS
pt::B0015EXQW4,0.8532,PASS
pt::B0015GPP5S,0.8609,PASS
pt::B00165XQWW,0.8818,PASS
pt::B0016PFBB6,0.8617,PASS
pt::B00178HN0O,0.8684,PASS
pt::B0018Z0PWY,0.8134,PASS
pt::B0019EHU8G,0.8546,PASS
pt::B0019M4FRW,0.8508,PASS
pt::B0019M6GP6,0.8816,PASS
pt::B0019M6GS8,0.8820,PASS
pt::B0019M9ENM,0.8820,PASS
