contact_id,reviewer_id,group,sources,reviews_total,reviews_used,prompt_chars,status,seconds,error
2,A22CW0ZHY3NJH8,A,sample:model-arms-100+pick:reading-16+previous,255,15,9693,ok,23.23,
3,A23GFTVIETX7DS,A,sample:model-arms-100+pick:reading-16+previous,241,15,9996,ok,17.92,
4,A3AYSYSLHU26U9,A,sample:model-arms-100+pick:reading-16+previous,231,15,9536,ok,31.48,
7,A31N0XY2UTB25C,A,sample:model-arms-100+pick:reading-16,200,15,9620,ok,24.24,
11,A3OXHLG6DIBRW8,A,sample:model-arms-100+pick:reading-16+previous,407,15,9827,ok,43.78,
13,A6FIAB28IS79,A,sample:model-arms-100+pick:reading-16+previous,367,15,9930,ok,38.27,
15,A680RUE1FDO8B,A,previous,352,15,10079,ok,47.4,
16,A1ODOGXEYECQQ8,A,previous,333,15,9440,ok,44.38,
19,A36K2N527TXXJN,A,previous,281,15,9931,ok,52.97,
20,AWPODHOB4GFWL,A,previous,260,15,9284,ok,64.8,
21,A3EXWV8FNSSFL6,A,previous,250,15,9683,ok,60.38,
24,A18S2VGUH9SCV5,A,sample:model-arms-100,142,15,9595,ok,68.26,
25,A376OJHLE6SU9Q,A,sample:model-arms-100+pick:reading-16,132,15,8918,ok,68.25,
27,ACJT8MUC0LRF0,A,sample:model-arms-100,126,15,10519,ok,73.69,
29,A3LGT6UZL99IW1,A,sample:model-arms-100+previous,245,15,10018,ok,78.19,
31,A1IU7S4HCK1XK0,A,sample:model-arms-100,122,15,9944,ok,91.28,
32,A38RMU1Y5TDP9,A,previous,244,15,10138,ok,92.31,
33,A2NOW4U7W3F7RI,A,sample:model-arms-100+previous,241,15,9557,ok,92.42,
41,A20OBCQWBKCGZT,A,sample:model-arms-100,113,15,10030,ok,101.08,
50,A1CMD08Z49PGKQ,A,sample:model-arms-100+pick:reading-16,190,15,8816,ok,113.21,
