run,provider,model,tier,prompt_version,method,title,branch,protocol,customers,calls_ok,calls_partial,calls_failed,calls_reused,hidden_dropped,hits_top5,hits_top10,hr_top10,ci95_low,ci95_high,ndcg10,mrr10,median_call_seconds,versus,versus_hits_top10,difference,only_method,only_versus,p_sign
2026-09-07-model-methods-1-methods-agy-gemini-3.8-flash-medium-en-cs-100-customers-2,agy,gemini-3.8-flash,medium,1.0.2,rank_candidates,Model ranks the candidates alone,en,sampled,100,94,6,0,100,0,44,64,0.64,0.5424,0.7273,0.3833,0.3046,,als_cf,28,36,41,5,0.0
2026-09-07-model-methods-1-methods-agy-gemini-3.8-flash-medium-en-cs-100-customers-2,agy,gemini-3.8-flash,medium,1.0.2,rank_candidates,Model ranks the candidates alone,en,sampled,100,94,6,0,100,0,44,64,0.64,0.5424,0.7273,0.3833,0.3046,,popularity,34,30,44,14,0.0
2026-09-07-model-methods-1-methods-agy-gemini-3.8-flash-medium-en-cs-100-customers-2,agy,gemini-3.8-flash,medium,1.0.2,rank_candidates,Model ranks the candidates alone,cs,sampled,100,90,10,0,98,0,50,64,0.64,0.5424,0.7273,0.3995,0.3249,31.6,als_cf,28,36,40,4,0.0
2026-09-07-model-methods-1-methods-agy-gemini-3.8-flash-medium-en-cs-100-customers-2,agy,gemini-3.8-flash,medium,1.0.2,rank_candidates,Model ranks the candidates alone,cs,sampled,100,90,10,0,98,0,50,64,0.64,0.5424,0.7273,0.3995,0.3249,31.6,popularity,34,30,45,15,0.0
2026-09-07-model-methods-2-methods-codex-gpt-5.5-low-en-cs-100-customers-3,codex,gpt-5.5,low,1.0.2,rerank_als,Model re-ranks the ALS order,en,sampled,100,49,51,0,100,1,48,57,0.57,0.4722,0.6627,0.3941,0.3386,,als_cf,28,29,32,3,0.0
2026-09-07-model-methods-2-methods-codex-gpt-5.5-low-en-cs-100-customers-3,codex,gpt-5.5,low,1.0.2,rerank_als,Model re-ranks the ALS order,cs,sampled,100,58,42,0,100,0,45,54,0.54,0.4426,0.6344,0.3732,0.3212,,als_cf,28,26,28,2,0.0
2026-09-07-model-methods-2-methods-codex-gpt-5.5-low-en-cs-100-customers-3,codex,gpt-5.5,low,1.0.2,rerank_als_with_profile,Model re-ranks the ALS order with the customer profile,en,sampled,100,50,50,0,99,0,40,51,0.51,0.4135,0.6058,0.338,0.2853,9.0,als_cf,28,23,28,5,0.0
2026-09-07-model-methods-2-methods-codex-gpt-5.5-low-en-cs-100-customers-3,codex,gpt-5.5,low,1.0.2,rerank_als_with_profile,Model re-ranks the ALS order with the customer profile,en,sampled,100,50,50,0,99,0,40,51,0.51,0.4135,0.6058,0.338,0.2853,9.0,rerank_als,57,-6,3,9,0.146
2026-09-07-model-methods-2-methods-codex-gpt-5.5-low-en-cs-100-customers-3,codex,gpt-5.5,low,1.0.2,rerank_als_with_profile,Model re-ranks the ALS order with the customer profile,cs,sampled,100,49,51,0,100,0,42,48,0.48,0.3846,0.5768,0.3469,0.3048,,als_cf,28,20,24,4,0.0
2026-09-07-model-methods-2-methods-codex-gpt-5.5-low-en-cs-100-customers-3,codex,gpt-5.5,low,1.0.2,rerank_als_with_profile,Model re-ranks the ALS order with the customer profile,cs,sampled,100,49,51,0,100,0,42,48,0.48,0.3846,0.5768,0.3469,0.3048,,rerank_als,54,-6,2,8,0.109
2026-09-07-model-methods-describe-and-retrieve-agy-gemini-3.8-flash-medium-en-cs-100-customers,agy,gemini-3.8-flash,medium,1.0.2,describe_and_retrieve,"Model describes the next purchase, the catalogue index retrieves it",en,full,100,100,0,0,97,0,0,2,0.02,0.0055,0.07,0.0059,0.0021,19.6,als_cf,3,-1,2,3,1.0
