item_id,translator,verdict,fixes_json
rs::ADLVFFE4VBT8::B0007LJHVA::1188691200::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000PKC102::1219276800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000HPV3RW::1245024000::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B000MDZKUU::1369872000::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000067SGI::1298246400::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B0001LTT64::1229990400::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B000FNBYKW::1263772800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000CATRHK::1220572800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000LQFI2I::1249516800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B0007LJHVA::1188691200::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B000HPV3RW::1245024000::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000FVGM38::1262908800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B00020BJA8::1246665600::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B000PKC102::1219276800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000MF7R4K::1173484800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B000067SGI::1298246400::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B0007SKSES::1226102400::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B000CATRHK::1220572800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B000LQFI2I::1249516800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000I1IGQ6::1283126400::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B00020BJA8::1246665600::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B000FVGM38::1262908800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B000MF7R4K::1173484800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B00006B8K2::1244160000::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000DZKUHA::1222387200::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
