item_id,translator,verdict,fixes_json
rt::ADLVFFE4VBT8::B000067SGI::1298246400::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B0007SKSES::1226102400::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B000CATRHK::1220572800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B000LQFI2I::1249516800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,INVALID,"[{""replace"": ""PAMÁTNÍHO"", ""with"": ""PROPRIETÁRNÍHO"", ""why"": ""Slovo 'proprietary' znamená 'proprietární' nebo 'vlastní', nikoliv 'památní', což zcela mění význam.""}, {""replace"": ""stydím se, Sony"", ""with"": ""styď se, Sony"", ""why"": ""Anglické 'shame on you' znamená 'styď se', překlad 'stydím se' obrací význam a polaritu toho, kdo se má stydět.""}]"
rs::ADLVFFE4VBT8::B000I1IGQ6::1283126400::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B00020BJA8::1246665600::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,INVALID,"[{""replace"": ""zip. ...který"", ""with"": ""zip, který"", ""why"": ""Překlad obsahuje neodůvodněně vloženou tečku a tři tečky uprostřed věty, což narušuje plynulost a základní strukturu.""}, {""replace"": ""Celkově vzato... Dávám"", ""with"": ""Celkově vzato, dávám"", ""why"": ""Zbytečně vložené tři tečky místo čárky jako v originále ('Overall, I will grant').""}]"
rt::ADLVFFE4VBT8::B000FVGM38::1262908800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B000MF7R4K::1173484800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B00006B8K2::1244160000::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000DZKUHA::1222387200::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000M17AVO::1221782400::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B000I1IGQ6::1283126400::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000261N6M::1220745600::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000MX48VM::1251072000::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000FZX9I0::1223251200::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B0007LJHVA::1188691200::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000PKC102::1219276800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000HPV3RW::1245024000::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B000MDZKUU::1369872000::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,INVALID,"[{""replace"": ""Hlavní přihrádka se do fotoaparátu perfektně vejde"", ""with"": ""Fotoaparát se do hlavní přihrádky perfektně vejde"", ""why"": ""Překlad zcela obrátil význam - původní text říká, že fotoaparát pasuje do přihrádky, nikoliv že se přihrádka vejde do fotoaparátu.""}]"
rs::ADLVFFE4VBT8::B000067SGI::1298246400::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B0001LTT64::1229990400::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rt::ADLVFFE4VBT8::B000FNBYKW::1263772800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000CATRHK::1220572800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
rs::ADLVFFE4VBT8::B000LQFI2I::1249516800::tr=vertex-cloud-translation-v3,vertex-cloud-translation-v3,VALID,[]
