item_id,translator,comet_score,status
rs::ADLVFFE4VBT8::B0007LJHVA::1188691200,vertex-cloud-translation-v3,0.8687,PASS
rs::ADLVFFE4VBT8::B000PKC102::1219276800,vertex-cloud-translation-v3,0.8559,PASS
rs::ADLVFFE4VBT8::B000HPV3RW::1245024000,vertex-cloud-translation-v3,0.8897,PASS
rt::ADLVFFE4VBT8::B000MDZKUU::1369872000,vertex-cloud-translation-v3,0.8496,PASS
rs::ADLVFFE4VBT8::B000067SGI::1298246400,vertex-cloud-translation-v3,0.8452,PASS
rt::ADLVFFE4VBT8::B0001LTT64::1229990400,vertex-cloud-translation-v3,0.8644,PASS
rt::ADLVFFE4VBT8::B000FNBYKW::1263772800,vertex-cloud-translation-v3,0.6521,RETRY
rs::ADLVFFE4VBT8::B000CATRHK::1220572800,vertex-cloud-translation-v3,0.8612,PASS
rs::ADLVFFE4VBT8::B000LQFI2I::1249516800,vertex-cloud-translation-v3,0.8897,PASS
rt::ADLVFFE4VBT8::B0007LJHVA::1188691200,vertex-cloud-translation-v3,0.6313,RETRY
rt::ADLVFFE4VBT8::B000HPV3RW::1245024000,vertex-cloud-translation-v3,0.5759,RETRY
rs::ADLVFFE4VBT8::B000FVGM38::1262908800,vertex-cloud-translation-v3,0.8755,PASS
rs::ADLVFFE4VBT8::B00020BJA8::1246665600,vertex-cloud-translation-v3,0.8829,PASS
rt::ADLVFFE4VBT8::B000PKC102::1219276800,vertex-cloud-translation-v3,0.8372,PASS
rs::ADLVFFE4VBT8::B000MF7R4K::1173484800,vertex-cloud-translation-v3,0.5495,RETRY
rt::ADLVFFE4VBT8::B000067SGI::1298246400,vertex-cloud-translation-v3,0.8016,PASS
rs::ADLVFFE4VBT8::B0007SKSES::1226102400,vertex-cloud-translation-v3,0.8465,PASS
rt::ADLVFFE4VBT8::B000CATRHK::1220572800,vertex-cloud-translation-v3,0.6789,RETRY
rt::ADLVFFE4VBT8::B000LQFI2I::1249516800,vertex-cloud-translation-v3,0.5977,RETRY
rs::ADLVFFE4VBT8::B000I1IGQ6::1283126400,vertex-cloud-translation-v3,0.8778,PASS
rt::ADLVFFE4VBT8::B00020BJA8::1246665600,vertex-cloud-translation-v3,0.5525,RETRY
rt::ADLVFFE4VBT8::B000FVGM38::1262908800,vertex-cloud-translation-v3,0.7081,PASS
rt::ADLVFFE4VBT8::B000MF7R4K::1173484800,vertex-cloud-translation-v3,0.7537,PASS
rs::ADLVFFE4VBT8::B00006B8K2::1244160000,vertex-cloud-translation-v3,0.8731,PASS
rs::ADLVFFE4VBT8::B000DZKUHA::1222387200,vertex-cloud-translation-v3,0.8074,PASS
rs::ADLVFFE4VBT8::B000M17AVO::1221782400,vertex-cloud-translation-v3,0.8720,PASS
rt::ADLVFFE4VBT8::B000I1IGQ6::1283126400,vertex-cloud-translation-v3,0.6156,RETRY
rs::ADLVFFE4VBT8::B000261N6M::1220745600,vertex-cloud-translation-v3,0.7816,PASS
rs::ADLVFFE4VBT8::B000MX48VM::1251072000,vertex-cloud-translation-v3,0.8765,PASS
rs::ADLVFFE4VBT8::B000FZX9I0::1223251200,vertex-cloud-translation-v3,0.8575,PASS
rt::ADLVFFE4VBT8::B0007SKSES::1226102400,vertex-cloud-translation-v3,0.5209,RETRY
rt::ADLVFFE4VBT8::B00006B8K2::1244160000,vertex-cloud-translation-v3,0.6531,RETRY
rs::ADLVFFE4VBT8::B00002NDRF::1298419200,vertex-cloud-translation-v3,0.7533,PASS
rs::ADLVFFE4VBT8::B00093IIRA::1225324800,vertex-cloud-translation-v3,0.8789,PASS
rt::ADLVFFE4VBT8::B000M17AVO::1221782400,vertex-cloud-translation-v3,0.6436,RETRY
rt::ADLVFFE4VBT8::B000DZKUHA::1222387200,vertex-cloud-translation-v3,0.7554,PASS
rs::ADLVFFE4VBT8::B000J38QBS::1289520000,vertex-cloud-translation-v3,0.8338,PASS
rt::ADLVFFE4VBT8::B000MX48VM::1251072000,vertex-cloud-translation-v3,0.7956,PASS
rt::ADLVFFE4VBT8::B000FZX9I0::1223251200,vertex-cloud-translation-v3,0.8558,PASS
rs::ADLVFFE4VBT8::B00009V2W9::1255305600,vertex-cloud-translation-v3,0.8599,PASS
rt::ADLVFFE4VBT8::B000261N6M::1220745600,vertex-cloud-translation-v3,0.7372,PASS
rs::ADLVFFE4VBT8::B000EF3YQI::1267747200,vertex-cloud-translation-v3,0.8623,PASS
rs::ADLVFFE4VBT8::B000M2GYF6::1223251200,vertex-cloud-translation-v3,0.8841,PASS
rt::ADLVFFE4VBT8::B00093IIRA::1225324800,vertex-cloud-translation-v3,0.6610,RETRY
rt::ADLVFFE4VBT8::B00002NDRF::1298419200,vertex-cloud-translation-v3,0.8103,PASS
rs::ADLVFFE4VBT8::B0002CPBUK::1229990400,vertex-cloud-translation-v3,0.8653,PASS
rs::ADLVFFE4VBT8::B000HDL05O::1276041600,vertex-cloud-translation-v3,0.8524,PASS
rt::ADLVFFE4VBT8::B000J38QBS::1289520000,vertex-cloud-translation-v3,0.5929,RETRY
rs::ADLVFFE4VBT8::B000NO8GNG::1231200000,vertex-cloud-translation-v3,0.8707,PASS
rt::ADLVFFE4VBT8::B000EF3YQI::1267747200,vertex-cloud-translation-v3,0.7022,PASS
rt::ADLVFFE4VBT8::B000M2GYF6::1223251200,vertex-cloud-translation-v3,0.8632,PASS
rt::ADLVFFE4VBT8::B00009V2W9::1255305600,vertex-cloud-translation-v3,0.6884,RETRY
rs::ADLVFFE4VBT8::B0009MFTSW::1271203200,vertex-cloud-translation-v3,0.8275,PASS
rs::ADLVFFE4VBT8::B00005114Z::1242691200,vertex-cloud-translation-v3,0.8308,PASS
rs::ADLVFFE4VBT8::B000JMJWV2::1293580800,vertex-cloud-translation-v3,0.8826,PASS
rt::ADLVFFE4VBT8::B0002CPBUK::1229990400,vertex-cloud-translation-v3,0.6824,RETRY
rs::ADLVFFE4VBT8::B0000VP1WQ::1245628800,vertex-cloud-translation-v3,0.8743,PASS
rs::ADLVFFE4VBT8::B000FDVK2E::1249516800,vertex-cloud-translation-v3,0.8897,PASS
rt::ADLVFFE4VBT8::B000HDL05O::1276041600,vertex-cloud-translation-v3,0.6234,RETRY
rt::ADLVFFE4VBT8::B000NO8GNG::1231200000,vertex-cloud-translation-v3,0.5934,RETRY
rt::ADLVFFE4VBT8::B00005114Z::1242691200,vertex-cloud-translation-v3,0.7969,PASS
rs::ADLVFFE4VBT8::B000M4XMGI::1225152000,vertex-cloud-translation-v3,0.8767,PASS
rs::ADLVFFE4VBT8::B0002KKIUA::1297382400,vertex-cloud-translation-v3,0.8418,PASS
rs::ADLVFFE4VBT8::B000OEOMOW::1226880000,vertex-cloud-translation-v3,0.8685,PASS
rt::ADLVFFE4VBT8::B0009MFTSW::1271203200,vertex-cloud-translation-v3,0.6336,RETRY
rt::ADLVFFE4VBT8::B000JMJWV2::1293580800,vertex-cloud-translation-v3,0.7939,PASS
rs::ADLVFFE4VBT8::B000HEANB0::1292371200,vertex-cloud-translation-v3,0.8824,PASS
rt::ADLVFFE4VBT8::B000FDVK2E::1249516800,vertex-cloud-translation-v3,0.6023,RETRY
rt::ADLVFFE4VBT8::B0000VP1WQ::1245628800,vertex-cloud-translation-v3,0.7047,PASS
rs::ADLVFFE4VBT8::B0009Y7APU::1239062400,vertex-cloud-translation-v3,0.8685,PASS
rs::ADLVFFE4VBT8::B00006343P::1320364800,vertex-cloud-translation-v3,0.8603,PASS
rt::ADLVFFE4VBT8::B000M4XMGI::1225152000,vertex-cloud-translation-v3,0.7292,PASS
rt::ADLVFFE4VBT8::B0002KKIUA::1297382400,vertex-cloud-translation-v3,0.8110,PASS
