item_id,en,cz_raw,kind,comet_score,comet_verdict,gemini_pro_verdict,gemini_flash_verdict,sonnet_46_verdict,haiku_45_verdict
rs::ADLVFFE4VBT8::B00002NDRF::1298419200,"Crisp, sticky labels","Jasné, lepící štítky",review_summary,0.7533,VALID,INVALID,VALID,VALID,VALID
rs::ADLVFFE4VBT8::B00005114Z::1242691200,Good as a color-coordinated cable,Dobrý jako barevně sladěný kabel,review_summary,0.8308,VALID,VALID,VALID,VALID,VALID
rs::ADLVFFE4VBT8::B00006343P::1320364800,Some like it purple,Někteří mají rádi fialovou,review_summary,0.8603,VALID,VALID,VALID,VALID,VALID
rs::ADLVFFE4VBT8::B000067RVL::1250640000,It's a good cable but make sure that THIS is what you need,"Je to dobrý kabel, ale ujistěte se, že TOHLE je to, co potřebujete",review_summary,0.8790,VALID,VALID,VALID,VALID,VALID
rs::ADLVFFE4VBT8::B000067SGI::1298246400,Just right but make sure it's what you need,"Tak akorát, ale ujistěte se, že je to to, co potřebujete",review_summary,0.8452,VALID,VALID,VALID,VALID,VALID
rs::ADLVFFE4VBT8::B00006B8K2::1244160000,"Good for the price, practically no warranties","Dobré za tu cenu, prakticky žádná záruka",review_summary,0.8731,VALID,INVALID,VALID,VALID,VALID
rs::ADLVFFE4VBT8::B00009V2W9::1255305600,Simply Awesome,Prostě úžasné,review_summary,0.8599,VALID,VALID,VALID,VALID,VALID
rs::ADLVFFE4VBT8::B0000VP1WQ::1245628800,Excellent D-SLR storage (2009 review),Vynikající úložiště pro digitální zrcadlovky (recenze z roku 2009),review_summary,0.8743,VALID,VALID,VALID,VALID,VALID
rs::ADLVFFE4VBT8::B0001IXUDK::1246924800,FUD - a perfect example (applies to the 2-meter cable),FUD - perfektní příklad (platí pro 2metrový kabel),review_summary,0.8561,VALID,VALID,VALID,VALID,VALID
rs::ADLVFFE4VBT8::B0001LTT64::1229990400,Durable - still good after 2 years of constant use,Odolné - stále dobré i po 2 letech neustálého používání,review_summary,0.8897,VALID,VALID,VALID,VALID,VALID
