run_id,contact_id,brief_id,level,level_name,stratum,gender,formal,gender_paired,ocean_source,lifecycle_stage,used_model,provider,model,tier,reused_from,ok,skipped,error,rules_accepted,rules_failures,rules_unchecked,seconds,chars
2026-09-07-uc01-personalization-20-level-codex-gpt-5.6-terra-low-all,1,1,0,generic,linked,m,True,1,inferred,loyal_active,0,,,,,1,,,0,VOCATIVE_MISMATCH,,0.0,330
2026-09-07-uc01-personalization-20-level-codex-gpt-5.6-terra-low-all,1,26,0,generic,linked,m,True,1,inferred,loyal_active,0,,,,,1,,,0,VOCATIVE_MISMATCH,,0.0,105
2026-09-07-uc01-personalization-20-level-codex-gpt-5.6-terra-low-all,1,10,0,generic,linked,m,True,1,inferred,loyal_active,0,,,,,1,,,0,VOCATIVE_MISMATCH,,0.0,341
2026-09-07-uc01-personalization-20-level-codex-gpt-5.6-terra-low-all,1,1,1,merge,linked,m,True,1,inferred,loyal_active,0,,,,,1,,,1,,,0.0,341
2026-09-07-uc01-personalization-20-level-codex-gpt-5.6-terra-low-all,1,26,1,merge,linked,m,True,1,inferred,loyal_active,0,,,,,1,,,1,,,0.0,114
2026-09-07-uc01-personalization-20-level-codex-gpt-5.6-terra-low-all,1,10,1,merge,linked,m,True,1,inferred,loyal_active,0,,,,,1,,,1,,,0.0,349
2026-09-07-uc01-personalization-20-level-codex-gpt-5.6-terra-low-all,1,1,2,morphology,linked,m,True,1,inferred,loyal_active,1,codex,gpt-5.6-terra,low,,1,,,1,,,6.41,340
2026-09-07-uc01-personalization-20-level-codex-gpt-5.6-terra-low-all,1,26,2,morphology,linked,m,True,1,inferred,loyal_active,1,codex,gpt-5.6-terra,low,,1,,,1,,,5.64,116
2026-09-07-uc01-personalization-20-level-codex-gpt-5.6-terra-low-all,1,10,2,morphology,linked,m,True,1,inferred,loyal_active,1,codex,gpt-5.6-terra,low,,1,,,1,,,6.44,350
2026-09-07-uc01-personalization-20-level-codex-gpt-5.6-terra-low-all,1,1,3a,linguistic,linked,m,True,1,inferred,loyal_active,1,codex,gpt-5.6-terra,low,,1,,,1,,,9.54,238
2026-09-07-uc01-personalization-20-level-codex-gpt-5.6-terra-low-all,1,26,3b,purchases,linked,m,True,1,inferred,loyal_active,1,codex,gpt-5.6-terra,low,,1,,,1,,,4.93,113
2026-09-07-uc01-personalization-20-level-codex-gpt-5.6-terra-low-all,1,26,3c,reviews,linked,m,True,1,inferred,loyal_active,1,codex,gpt-5.6-terra,low,,1,,,1,,,6.09,87
