item_id,comet_score,status,attempt
rs::ADLVFFE4VBT8::B00006343P::1320364800,0.8603,PASS,1
rs::ADLVFFE4VBT8::B00002NDRF::1298419200,0.7533,PASS,1
rt::ADLVFFE4VBT8::B00006343P::1320364800,0.6064,RETRY,1
rt::ADLVFFE4VBT8::B00002NDRF::1298419200,0.8103,PASS,1
rs::ADLVFFE4VBT8::B00005114Z::1242691200,0.8308,PASS,1
rt::ADLVFFE4VBT8::B00005114Z::1242691200,0.7909,PASS,1
rt::ADLVFFE4VBT8::B000067SGI::1298246400,0.8016,PASS,1
rs::ADLVFFE4VBT8::B000067SGI::1298246400,0.8452,PASS,1
rt::ADLVFFE4VBT8::B00006B8K2::1244160000,0.6531,RETRY,1
rs::ADLVFFE4VBT8::B00006B8K2::1244160000,0.8731,PASS,1
rs::ADLVFFE4VBT8::B000067RVL::1250640000,0.8790,PASS,1
rt::ADLVFFE4VBT8::B000067RVL::1250640000,0.6113,RETRY,1
rt::ADLVFFE4VBT8::B0000VP1WQ::1245628800,0.7047,PASS,1
rt::ADLVFFE4VBT8::B0001IXUDK::1246924800,0.5675,RETRY,1
rs::ADLVFFE4VBT8::B0000VP1WQ::1245628800,0.8743,PASS,1
rs::ADLVFFE4VBT8::B0001IXUDK::1246924800,0.8561,PASS,1
rs::ADLVFFE4VBT8::B00009V2W9::1255305600,0.8599,PASS,1
rs::ADLVFFE4VBT8::B0001LTT64::1229990400,0.8897,PASS,1
rt::ADLVFFE4VBT8::B0001LTT64::1229990400,0.8644,PASS,1
rt::ADLVFFE4VBT8::B00020BJA8::1246665600,0.5525,RETRY,1
rt::ADLVFFE4VBT8::B00009V2W9::1255305600,0.6884,RETRY,1
rs::ADLVFFE4VBT8::B00020BJA8::1246665600,0.8829,PASS,1
rs::ADLVFFE4VBT8::B000261N6M::1220745600,0.7816,PASS,1
rt::ADLVFFE4VBT8::B000261N6M::1220745600,0.7372,PASS,1
rs::ADLVFFE4VBT8::B0002CPBUK::1229990400,0.8653,PASS,1
rt::ADLVFFE4VBT8::B0002CPBUK::1229990400,0.6824,RETRY,1
rs::ADLVFFE4VBT8::B0002KKIUA::1297382400,0.8418,PASS,1
rs::ADLVFFE4VBT8::B0002L5R78::1229212800,0.8923,PASS,1
rt::ADLVFFE4VBT8::B0002L5R78::1229212800,0.5922,RETRY,1
rt::ADLVFFE4VBT8::B0002KKIUA::1297382400,0.8080,PASS,1
